hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
B4047	HBZ60	294/61	BO: Allg./Vergl.Liter.w	Fakultät für Philologie der Universität, Bibliothek, Allgemeine und vergleichende Literaturwissenschaft	NULL	3405
B4048	HBZ60	294/62	BO: Knappschafts-Krkhs	Knappschafts-Krankenhaus Bochum-Langendreer-Universitätsklinik	NULL	3406
B4049	HBZ60	294/63	BO: Klin. Bergmannsheil	Berufsgenossenschaftliche Kliniken Bergmannsheil Bochum, Universitätsklinik, Bibliothek	NULL	3407
B4050	HBZ60	294/64	BO: Botanischer Garten	Botanischer Garten der Ruhr-Universität Bochum	NULL	3408
B4051	HBZ60	294/7	BO: Biologie Biotech.	Fakultät für Biologie und Biotechnologie der Ruhr-Universität Bochum	NULL	3409
B4052	HBZ60	294/8	BO: FakB Chemie	Fakultät für Chemie der Ruhr-Universität Bochum	NULL	3410
B4053	HBZ60	294/9	BO: FakB Elektrotechnik	Fakultät für Elektrotechnik und Informationstechnik der Ruhr-Universität Bochum	NULL	3411
B4054	HBZ60	294/70	BO: IPA	IPA, Institut für Prävention und Arbeitsmedizin der Deutschen Gesetzlichen Unfallversicherung, Institut der Ruhr-Universität Bochum	NULL	3412
B4055	HBZ60	294/66	BO: Theaterwissenschaft	Fakultät für Philologie der Universität, Bibliothek, Institut für Theaterwissenschaft	NULL	3413
B4056	HBZ60	294/67	BO: Recht	Lehrstuhl für Öffentliches Recht, Rechtssoziologie und Rechtsphilosophie der Ruhr-Universität Bochum	NULL	3414
B4057	HBZ60	294/68	BO: Marienhospit. Herne	Marienhospital Herne, Klinikum der Ruhr-Universität Bochum, Service-Center für Lehre und Forschung	NULL	3415
B4058	HBZ60	294/69	BO: Landesspracheninst.	Landesspracheninstitut in der Ruhr-Universität Bochum	NULL	3416
B4059	HBZ60	294/71	BO: ICAMS	ICAMS, Interdisciplinary Centre for Advanced Materials Simulation, Institut an der Ruhr-Universität Bochum	NULL	3417
B5001	HBZ60	Bm 40	BO: HSB Bochum	Hochschule Bochum, Hochschulbibliothek	NULL	3418
C0001	HBZ60	361	BI: UB Bielefeld	Universitätsbibliothek Bielefeld	NULL	3419
C1001	HBZ60	361/1	BI	Städtische Kliniken Bielefeld, Klinikum Mitte, Ärztebibliothek, neues	Sigel: 2063	2015-07-14 00	:00	:00	3420
C1002	HBZ60	361/13	BI	Von Bodelschwinghsche Anstalten Bethel, Zentrale Bibliothek, neues	Sigel: 2059	2015-07-14 00	:00	:00	3421
C5001	HBZ60	Bi 10	BI: FHB Bielefeld	Fachhochschule Bielefeld	NULL	3422
EB001	HBZ60	ZDB-23-DGG	de Gruyter E-Books	de Gruyter E-Books	NULL	3423
ESA01	EDK50	2750	K: Edith-Stein-Archiv	Edith-Stein-Archiv Köln	NULL	3424
F5001	HBZ60	1383	Kle: HSB Rhein-Waal	Hochschulbibliothek Rhein-Waal, Kleve	NULL	3425
F5002	HBZ60	1383a	WES: Kamp-Lintfort	Hochschule Rhein-Waal Zweigstelle Kamp-Lintfort	NULL	3426
F5010	HBZ60	1393	MH: HSB Ruhr West	Bibliothek der Hochschule Ruhr West	NULL	3427
F5011	HBZ60	1393/BOT	BOT: HS Ruhr West, Bottrop	Hochschule Ruhr West, Zweigbibliothek Bottrop	NULL	3428
G5001	HBZ60	1010	GE: B WHS Gelsenkirchen	Bibliothek der Westfälischen Hochschule Gelsenkirchen Bocholt Recklinghausen	NULL	3429
H7001	HBZ60	368	Hattingen: StBü	Stadtbücherei Hattingen	NULL	3430
J5001	HBZ60	1044	St.Aug: - HuKB BnRhSie	Fachhochschule	Bonn-Rhein-Sieg in St. Augustin (Hochschul- und Kreisbibliothek) (umfasst auch die Bestände der früheren Kreisbibliothek Siegburg = 744)	NULL	3431
J5005	HBZ60	Sie 5	SU: WB ARSK Siegburg	Wissenschaftliche Bibliothek des Kreisarchivs Rhein-Sieg-Kreis, Siegburg	NULL	3432
K0001	HBZ60	38	K: USB	Universitäts- und Stadtbibliothek Köln	NULL	3433
K1001	HBZ60	38/004	K	Studentenbücherei an der Universität Köln	2006-01-20 00	:00	:00	3434
K1002	HBZ60	38/005	K: Universitätsarchiv	Universitätsarchiv Köln, Bibliothek	NULL	3435
K1003	HBZ60	38/006	K: RRZK	Bibliothek für Informatik und Wirtschaftsinformatik und Bibliothek des Regionalen Rechenzentrums (RRZK)	NULL	3436
K1004	HBZ60	38/007	K: GeStiK	Bibliothek GeStiK - Gender Studies in Köln	NULL	3437
K1005	HBZ60	38/008	K	Staatliches Studienkolleg für Ausländische Studierende an der Universität zu Köln, Bibliothek	2022-12-09 12	:17	:10	3438
K1006	HBZ60	38/102	K: Wirtschaftsarchiv	Wirtschaftsarchiv der Wirtschafts- und Sozialwissenschaftlichen Fakultät der Universität Köln (= Kn112)	NULL	3439
K1007	HBZ60	38/103	Seminar für Finanzwissenschaft	2022-12-13 12	:05	:57	3440
K1008	HBZ60	38/104	K	Finanzwissenschaftliches Forschungsinstitut an der Universität Köln	2022-12-13 11	:46	:20	3441
K1009	HBZ60	38/105	Staatswissenschaftliches (Volkswirtschaftliches) Seminar der Universität Köln	2022-12-13 12	:05	:27	3442
K1010	HBZ60	38/106	K: BWL-Bibliothek	Betriebswirtschaftliche Bibliothek der Universität zu Köln	NULL	3443
K1011	HBZ60	38/107	K	Institut für Wirtschaftspolitik an der Universität zu Köln (Kn115)	2022-12-13 11	:45	:53	3444
K1012	HBZ60	38/108	K	Seminar für Allgemeine Betriebswirtschaftslehre und Organisationslehre, Seminar für Allgemeine Betriebswirtschaftslehre und Personalwirtschaftslehre, Gemeinsame Bibliothek	2022-12-13 12	:06	:15	3445
K1013	HBZ60	38/109	K	Seminar für Allgemeine Betriebswirtschaftslehre und Bankbetriebslehre (Bankseminar), Forschungsinstitut für Leasing, Institut für Bankwirtschaft und Bankrecht/Abteilung Bankwirtschaft, Gemeinsame Bibliothek	2022-12-13 12	:10	:18	3446
K1014	HBZ60	38/110	K	Seminar für Allgemeine Betriebswirtschaftslehre, Supply Chain Management und Produktion der Universität Köln	2022-12-13 12	:04	:50	3447
K1015	HBZ60	38/112	K	Seminar für Allgemeine Betriebswirtschaftslehre, Marketing und Marktforschung der Universität Köln	2022-12-12 17	:27	:02	3448
K1016	HBZ60	38/113	K	Institut für Rundfunkökonomie der Universität Köln	2022-12-12 17	:28	:05	3449
K1017	HBZ60	38/114	K	Seminar für Allgemeine Betriebswirtschaftslehre, Industriebetriebslehre und Produktionswirtschaft der Universität Köln	2022-12-12 17	:29	:04	3450
K1018	HBZ60	38/115	K	Seminar für Allgemeine Betriebswirtschaftslehre	2006-01-20 00	:00	:00	3451
K1019	HBZ60	38/116	K	Betriebswirtschaftliches Institut für Organisation und Automation (BIFOA) der Universität Köln, Bibliothek (aufgelöst und Bestände auf verschiedene Bibliotheken aufgeteilt)	2003-08-11 00	:00	:00	3452
K1020	HBZ60	38/117	K	Seminar für Allgemeine Betriebswirtschaftslehre und Betriebswirtschaftliche Steuerlehre der Universität Köln	2022-12-13 11	:29	:38	3453
K1021	HBZ60	38/118	K	Seminar für Allgemeine Betriebswirtschaftslehre und für Wirtschaftsprüfung der Universität Köln	2022-12-13 11	:30	:10	3454
K1022	HBZ60	38/119	K: Energiewirtschaft	Energiewirtschaftliches Institut der Universität Köln (Gemeinsame Bibliothek mit dem Seminar für	Sozialpolitik: 38/128)	NULL	3455
K1023	HBZ60	38/120	K	Seminar für Genossenschaftswesen, Bibliothek	2022-12-13 12	:06	:46	3456
K1024	HBZ60	38/121	K	Seminar für Verkehrswissenschaft, Institut für Verkehrswissenschaft der Universität Kö	ln: Gemeinsame Bibliothek (= Kn20)	2022-12-13 11	:30	:48	3457
K1025	HBZ60	38/123	K: Versicherungswiss.	FBV Fachbibliothek Versicherungswissenschaft am Seminar für Allgemeine Betriebswirtschaftslehre, Risikomanagement und Versicherungslehre ; Institut für Versicherungswissenschaft, Abt. Versicherungswirtschaft, Abt. Versicherungsmathematik	NULL	3458
K1026	HBZ60	38/124	K	Seminar für Allgemeine Betriebswirtschaftslehre, Marketing und Markenmanagement der Universität Köln	2022-12-13 11	:31	:26	3459
K1027	HBZ60	38/125	K: Pol.Wiss. u. Europ.Fr.	Forschungsinstitut für Politische Wissenschaft und Europäische Fragen, Seminar für Politische Wissenschaft, Gemeinsame Bibliothek	NULL	3460
K1028	HBZ60	38/127	K	Institut für Angewandte Sozialforschung, Forschungsinstitut für Soziologie der Universität Kö	ln: Gemeinsame Bibliothek	2006-01-20 00	:00	:00	3461
K1029	HBZ60	38/128	K	Seminar für Sozialpolitik der Universität Köln (Gemeinsame Bibliothek mit dem Seminar für	Genossenschaftswesen: 38/120)	2022-12-13 12	:04	:08	3462
K1030	HBZ60	38/129	K	Forschungsinstitut für Sozialpolitik der Universität Köln (= Kn157) (s. 38/148)	2022-12-13 11	:32	:25	3463
K1031	HBZ60	38/130	K	Forschungsinstitut für Einkommenspolitik und Soziale Sicherung der Universität Köln	2006-01-20 00	:00	:00	3464
K1032	HBZ60	38/132	K: Sem. Soziologie	Seminar für Soziologie der Universität Köln (= Kn100)	NULL	3465
K1033	HBZ60	38/133	K	Psychologisches Institut, Institut für Wirtschafts- und Sozialpsychologie der Universität Köln, Gemeinsame Bibliothek (s. 38/402)	2022-12-13 11	:33	:08	3466
K1034	HBZ60	38/134	K: Berufs-,Wirt-uSoz.pä	Institut für Berufs-, Wirtschafts- und Sozialpädagogik der Universität Köln	NULL	3467
K1035	HBZ60	38/135	K	Forschungsinstitut für Berufsbildung im Handwerk an der Universität Köln, Bibliothek (= Kn163)	2019-04-26 00	:00	:00	3468
K1036	HBZ60	38/136	K	Wirtschafts- und Sozialgeographisches Institut der Universität Köln	2022-12-13 11	:43	:57	3469
K1037	HBZ60	38/137	K	Seminar für Wirtschafts? und Unternehmensgeschichte	2022-12-13 11	:33	:48	3470
K1038	HBZ60	38/139	K	Seminar für Wirtschafts- und Sozialstatistik, Lehrstuhl Prof.Dr.F.Schmid, Bibliothek	2022-12-13 11	:43	:29	3471
K1039	HBZ60	38/140	K	Seminar für Wirtschafts- und Sozialstatistik, Lehrstuhl für Statistik und Ökonometrie Prof. Dr. K. Mosler, Universität Köln	2022-12-13 11	:43	:02	3472
K1040	HBZ60	587	K: GESIS WGL	GESIS Bibliothek Köln	NULL	3473
K1041	HBZ60	38/146	K	Institut für Wohnungsrecht und Wohnungswirtschaft, Bibliothek	2022-12-13 12	:03	:22	3474
K1042	HBZ60	38/148	K	Forschungsinstitut für Sozialpolitik der Universität Köln, Archiv (s. 38/129)	2006-01-20 00	:00	:00	3475
K1043	HBZ60	38/155	K	Seminar für Unternehmensführung und Logistik  der Universität Köln	2022-12-13 11	:34	:37	3476
K1044	HBZ60	38/156	K	Seminar für Allgemeine Betriebswirtschaftslehre, Handel und Kundenmanagement der Universität Köln	2022-12-13 12	:02	:20	3477
K1045	HBZ60	38/157	K	Wirtschaftspolitisches Seminar der Universität Köln, Lehrstuhl Prof. Donges, Bibliothek	2022-12-13 12	:01	:54	3478
K1046	HBZ60	38/160	K	Seminar für Allgemeine Betriebswirtschaftslehre und Controlling der Universität Köln	2022-12-13 11	:37	:07	3479
K1047	HBZ60	38/164	K	Seminar für Allgemeine Betriebswirtschaftslehre und Finanzierungslehre, Bibliothek	2022-12-13 11	:50	:19	3480
K1048	HBZ60	38/166	K	Staatswissenschaftliches Seminar, Lehrstuhl Prof.Dr. Schellhaaß, Bibliothek	2022-12-13 11	:49	:50	3481
K1049	HBZ60	38/201	K: Fachbibl. Rechtswiss.	Fachbibliothek Rechtswissenschaft, Rechtswissenschaftliches Seminar der Universität Köln	NULL	3482
K1050	HBZ60	38/202	K	Seminar für Deutsches Recht der Universität Köln	2006-01-20 00	:00	:00	3483
K1051	HBZ60	38/203	K: FI Sozialrecht	Forschungsinstitut für Deutsches und Europäisches Sozialrecht der Universität Köln	NULL	3484
K1052	HBZ60	38/204	K: Arbeits- u.Wirtsch.R	Institut für Arbeits- und Wirtschaftsrecht der Universität Köln	NULL	3485
K1053	HBZ60	38/205	K: Straf/Strafprozessr.	Institut für Strafrecht und Strafprozessrecht der Universität Köln	NULL	3486
K1054	HBZ60	38/206	K	Institut für Ausländisches und Internationales Strafrecht der Universität Köln	2021-07-29 13	:30	:38	3487
K1055	HBZ60	38/207	K	Institut für Völkerrecht und Ausländisches Öffentliches Recht der Universität Köln, Bibliothek (= Kn109)	2021-07-29 13	:31	:39	3488
K1056	HBZ60	38/208	K: GB Internat. Recht	Gemeinschaftsbibliothek Internationales Recht	NULL	3489
K1057	HBZ60	38/209	K: Kirchenrecht	Institut für Kirchenrecht und rheinische Kirchenrechtsgeschichte der Universität Köln	NULL	3490
K1058	HBZ60	38/210	K: Steuerrecht	Institut für Steuerrecht der Universität Köln (= Kn105)	NULL	3491
K1059	HBZ60	38/211	K: Staatsphilosophie	Seminar für Staatsphilosophie und Rechtspolitik der Universität Köln, Bibliothek (= Kn102)	NULL	3492
K1060	HBZ60	38/212	K: Luft-/Weltraumrecht	Institut für Luft- und Weltraumrecht, Lehrstuhl für Völkerrecht, Europarecht, Europäisches und Internationales Wirtschaftsrecht, Gemeinsame Bibliothek	NULL	3493
K1061	HBZ60	38/213	K: Öff.Recht/Verw.lehre	Institut für Öffentliches Recht und Verwaltungslehre der Universität Köln, Bibliothek (= Kn142)	NULL	3494
K1062	HBZ60	38/214	K: Römisches Recht	Institut für Römisches Recht der Universität Köln	NULL	3495
K1063	HBZ60	38/215	K	Institut für das Recht der Europäischen Gemeinschaft mit Europäischem Dokumentationszentrum, Bibliothek	2021-07-29 13	:32	:47	3496
K1064	HBZ60	38/216	K: Neuere PrivatRgesch.	Institut für Neuere Privatrechtsgeschichte, Deutsche und Rheinische Rechtsgeschichte der Universität Köln	NULL	3497
K1065	HBZ60	38/217	K: Bankrecht	Lehrstuhl für Bürgerliches Recht, Deutsches und Internationales Handels-, Wirtschafts- und Bankrecht, Internationales Privatrecht und Rechtsvergleichung, Institut für Bankwirtschaft und Bankrecht, Abt. Bankrecht, Center for Transnational Law (CENTRAL), Gemeinsame Bibliothek	NULL	3498
K1066	HBZ60	38/218	K: Versicherungsrecht	Institut für Versicherungsrecht, Institut für Versicherungswissenschaft mit Abt. für Versicherungswirtschaft, Versicherungsrecht, Versicherungsmathematik, Seminar für Allgemeine Betriebswirtschaftslehre, Risikomanagement und Versicherungslehre, Gemeinsame Bibliothek	NULL	3499
K1067	HBZ60	38/219	K: Inst. Osteurop. Recht	Institut für Osteuropäisches Recht und Rechtsvergleichung	NULL	3500
K1068	HBZ60	38/220	K	Institut für Energierecht an der Universität Köln	2022-12-13 12	:12	:57	3501
K1069	HBZ60	38/221	K: Verfahrensrecht	Institut für Verfahrensrecht der Universität Köln, Bibliothek (= Kn143)	NULL	3502
K1070	HBZ60	38/222	K: Medienrecht	Bibliothek des Instituts für Medienrecht und Kommunikationsrecht	NULL	3503
K1071	HBZ60	38/223	K: Kriminologie	Institut für Kriminologie der Universität Köln	NULL	3504
K1072	HBZ60	38/224	K	Institut für Deutsches und Europäisches Wissenschaftsrecht der Universität Köln	2022-12-13 12	:13	:55	3505
K1073	HBZ60	38/225	K: Staatsrecht	Institut für Staatsrecht der Universität Köln	NULL	3506
K1074	HBZ60	38/226	K: Anwaltsrecht	Institut für Anwaltsrecht der Universität Köln	NULL	3507
K1075	HBZ60	38/228	K: Staats-/Verw.-recht	Lehrstuhl für Staats- und Verwaltungsrecht der Universität Köln	NULL	3508
K1076	HBZ60	38/229	K	Rechtszentrum für Europäische und Internationale Zusammenarbeit (RIZ), Abt. Vertragsrecht der Internationalen Wirtschaft, Abt. Staats- und Verfassungsrecht in Europa, Abt. Wirtschaftsrecht in Europa, Bibliothek	2006-01-20 00	:00	:00	3509
K1077	HBZ60	38/303	K: Allg. Pädagogik	Seminar für Pädagogik, Abt. für Allgemeine Pädagogik	NULL	3510
K1078	HBZ60	38/304	K: Pädagogik/Schulpäd.	Institut für Allgemeine Didaktik und Schulforschung	NULL	3511
K1079	HBZ60	38/305	K: Inst. Psychologie	Department Psychologie	NULL	3512
K1080	HBZ60	38/306	K	Seminar für Geschichte und für Philosophie, Abt. für Geschichte und ihre Didaktik, Bibliothek	2021-07-29 13	:24	:05	3513
K1081	HBZ60	38/307	K: HF-Bibliothek	38/307	: Humanwissenschaftliche	Bibliothek: Gemeinsame Bibliothek der Humanwissenschaftlichen Fakultät und der USB Köln	NULL	3514
K1082	HBZ60	38/308	K: Soz.wiss/Polit.wiss.	Politikwissenschaft, Bildungspolitik und Politische Bildung	NULL	3515
K1083	HBZ60	38/309	K: Sozialwiss./Soz./Erzw	Soziologie	NULL	3516
K1084	HBZ60	38/310	K	Sozialwissenschaften mit dem Schwerpunkt ökonomische Bildung	2022-11-09 10	:49	:40	3517
K1085	HBZ60	38/311	K: Sem.Theologie/Erzw.	Seminar für Theologie und ihre Didaktik der Universität Köln (Erziehungswissenschaftliche Fak.)	NULL	3518
K1086	HBZ60	38/312	K: Sem.Dt.Spr/Didakt.	Seminar für Deutsche Sprache und ihre Didaktik, Bibliothek	NULL	3519
K1087	HBZ60	38/313	K: Sem.Engl.Spr/Didakt	Institut für Englische Sprache und ihre Didaktik, Bibliothek	NULL	3520
K1088	HBZ60	38/314	K:Sem.Geographie/Erzw	Seminar für Geographie der Universität Köln (Erziehungswissenschaftl. Fakultät), Bibliothek	NULL	3521
K1089	HBZ60	38/315	K: Mathem.Didaktik	Institut für Mathematikdidaktik, Bibliothek	NULL	3522
K1090	HBZ60	38/316	K	Institut für Biologie und ihre Didaktik der Universität Köln, mit Forschungsstelle für Gesundheitserziehung (Erziehungswissenschaftl. Fak.), Bibliothek	2019-10-30 00	:00	:00	3523
K1091	HBZ60	38/317	K: Chemiedidaktik	Institut für Chemiedidaktik der Universität Köln, Bibliothek	NULL	3524
K1092	HBZ60	38/318	K	Institut für Physik und ihre Didaktik der Universität Köln (Erziehungswissenschaftl. Fak.), Bibliothek	2019-10-30 00	:00	:00	3525
K1093	HBZ60	38/319	K:Kunst/Bild.Kunst/Erzw	FB Kunst und Textil, Abt. für Kunst und ihre Didaktik	NULL	3526
K1094	HBZ60	38/320	K:Kunst/Textilgest./Erzw	FB Kunst und Textil, Abt. Textilgestaltung/Textilwissenschaft und ihre Didaktik	NULL	3527
K1095	HBZ60	38/321	K: HWA Musikpädagogik	Institut für Musikpädagogik	NULL	3528
K1096	HBZ60	38/322	K	Rechenstelle der Erziehungswissenschaftlichen Fakultät der Universität Köln, Bibliothek	2006-01-20 00	:00	:00	3529
K1097	HBZ60	38/323	K: ALEKI	Arbeitsstelle für Leseforschung und Kinder- und Jugendmedien (ALEKI)	NULL	3530
K1098	HBZ60	38/324	K: Europ. Musikethno.	Institut für Europäische Musikethnologie, Bibliothek	NULL	3531
K1099	HBZ60	38/325	K: KathTheolKlosterstr	Bibliothek für Systematische Theologie, Institut für Katholische Theologie, Abt. Klosterstr.	NULL	3532
K1100	HBZ60	38/401	K: Philosoph. Seminar	Philosophisches Seminar der Universität Köln, Bibliothek	NULL	3533
K1101	HBZ60	38/402	K	Psychologisches Institut, Institut für Wirtschafts- und Sozialpsychologie, Gemeinsame Bibliothek	2011-01-20 00	:00	:00	3534
K1102	HBZ60	38/403	K: Pädagog. Sem.	Pädagogische Bibliothek im Hauptgebäude	NULL	3535
K1103	HBZ60	38/404	K: Altertumsk/Klass.Phil.	Institut für Altertumskunde, Abteilung Klassische Philologie, Alte Geschichte, Bibliothek	NULL	3536
K1104	HBZ60	38/405	K: Dt. Spr. u. Literatur	Institut für deutsche Sprache und Literatur der Universität Köln	NULL	3537
K1105	HBZ60	38/406	K: Niederl. Philologie	Institut für Niederländische Philologie der Universität Köln (s. auch Kn 126)	NULL	3538
K1106	HBZ60	38/407	K: Skandinavistik	Institut für Skandinavistik / Fennistik der Universität Köln, Abt. Skandinavistik	NULL	3539
K1107	HBZ60	38/408	K: Indologie/Tamilistik	Institut für Indologie und Tamilistik der Universität Köln	NULL	3540
K1108	HBZ60	38/409	K: Sprachwissenschaft	Institut für Linguistik, Abt. Allgemeine Sprachwissenschaft, Abt. Historisch-Vergleichende Sprachwissenschaft, Gemeinsame Bibliothek, Universität Köln	NULL	3541
K1109	HBZ60	38/410	K: Linguistik/Phonetik	Institut für Linguistik, Abt. Phonetik, Universität Köln	NULL	3542
K1110	HBZ60	38/411	K: Engl. Seminar	Englisches Seminar der Universität Köln (= Kn147)	NULL	3543
K1111	HBZ60	38/412	K: Roman. Seminar	Romanisches Seminar der Universität Köln	NULL	3544
K1112	HBZ60	38/413	K: Port.-Brasilian.Inst.	Portugiesisch-Brasilianisches Institut, Zentrum Portugiesischsprachige Welt, Bibliothek	NULL	3545
K1113	HBZ60	38/414	K: Oriental. Seminar	Orientalisches Seminar, Seminarbibliothek mit Malaiologischem Apparat, Schiabibliothek und Max Freiherr von Oppenheim Stiftung	NULL	3546
K1114	HBZ60	38/415	K: Martin-Buber-Inst.	Martin-Buber-Institut für Judaistik der Universität Köln (= Kn148)	NULL	3547
K1115	HBZ60	38/416	K: Ägyptologie	Seminar für Ägyptologie der Universität Köln (= Kn135)	NULL	3548
K1116	HBZ60	38/417	K	Ostasiatisches Seminar, Abt. Ältere Sinologie, Universität Köln	2014-05-07 00	:00	:00	3549
K1117	HBZ60	38/418	K: Slavistik	Slavisches Institut der Universität Köln	NULL	3550
K1118	HBZ60	38/419	K: Afrikanistik	Institut für Afrikanistik der Universität Köln	NULL	3551
K1119	HBZ60	38/420	K: Hist.Inst/MA u. Neuz	Historisches Institut, Abteilung für Mittlere und Neuere Geschichte mit Abteilung für Nationalismusforschung, Bibliothek	NULL	3552
K1120	HBZ60	38/421	K: Histor.Sem/Publizistik	Historisches Seminar I, Arbeitsstelle für Geschichte der Publizistik, Bibliothek	NULL	3553
K1121	HBZ60	38/422	K: Hist.Inst/Nordam.	Historisches Institut, Abteilung für Nordamerikanische Geschichte, Bibliothek	NULL	3554
K1122	HBZ60	38/423	K: Hist.Inst/Lat. Am.	Historisches Institut, Abteilung für Iberische und Lateinamerikanische Geschichte, Bibliothek	NULL	3555
K1123	HBZ60	38/424	K	Historisches Seminar der Universität Köln, Arbeitskreis Nationalismusforschung (s. 38/420)	2018-08-30 00	:00	:00	3556
K1124	HBZ60	38/425	K: Hist.Inst/Osteuropa	Historisches Institut, Abteilung für Osteuropäische Geschichte, Bibliothek	NULL	3557
K1125	HBZ60	38/426	K: Ur- u. Frühgeschichte	Institut für Ur- und Frühgeschichte der Universität Köln	NULL	3558
K1126	HBZ60	38/427	K: Archäologie	Archäologisches Institut, Institut für Klassische Archäologie und Archäologie der Römischen Provinzen	NULL	3559
K1127	HBZ60	38/428	K: Kunstgeschichte	Kunsthistorisches Institut, Abteilung Allgemeine Kunstgeschichte	NULL	3560
K1128	HBZ60	38/429	K: Theatermuseum/Porz	Institut für Theater-, Film- und Fernsehwissenschaft, Theaterwissenschaftliche Sammlung, Bibliothek	NULL	3561
K1129	HBZ60	38/430	K: Musikwiss. Inst.	Musikwissenschaftliches Institut, Abt. Historische Musikwissenschaft, Systematische Musikwissenschaft, Musikethnologie, Collegium Musicum	NULL	3562
K1130	HBZ60	38/431	K: Ethnologie	Institut für Ethnologie der Universität Köln	NULL	3563
K1131	HBZ60	38/432	K: Thomas-Institut	Thomas-Institut der Universität Köln	NULL	3564
K1132	HBZ60	38/433	K: Husserl-Archiv	Husserl-Archiv der Universität Köln	NULL	3565
K1133	HBZ60	38/434	K: Petrarca-Institut	Petrarca-Institut, Bibliothek	NULL	3566
K1134	HBZ60	38/435	K	Orientalisches Seminar, Max-Freiherr-von-Oppenheim-Stiftung der Universität Köln	2022-12-13 11	:42	:33	3567
K1135	HBZ60	38/436	K	Orientalisches Seminar, Altorientalischer Apparat der Universität Köln	2017-05-30 00	:00	:00	3568
K1136	HBZ60	38/437	K	Orientalisches Seminar, Malaiologischer Apparat der Universität Köln	2018-08-30 00	:00	:00	3569
K1137	HBZ60	38/438	K: Ur-/Frühgeschichte	Institut für Ur- und Frühgeschichte, Forschungsstelle Afrika	NULL	3570
K1138	HBZ60	38/444	K: Fennistik	Institut für Skandinavistik / Fennistik der Universität Köln, Abt. Fennistik	NULL	3571
K1139	HBZ60	38/445	K:Kunsthist./Arch.gesch.	Kunsthistorisches Institut der Universität Köln,  bt. Architekturgeschichte	NULL	3572
K1140	HBZ60	38/448	K: Theaterwiss.	Institut für Theater-, Film- u. Fernsehwissenschaft der Universität Köln	NULL	3573
K1141	HBZ60	38/450	K: Ostas.Sem./Mod.Chin	Ostasiatisches Seminar, Abteilung Moderne China-Studien, der Universität Köln	NULL	3574
K1142	HBZ60	38/451	K: Dt.Spr.u.Lit/Sprechk	Institut für Deutsche Sprache u. Literatur, Lektorat für Deutsche Sprechkunde der Universität Köln (zusammengelegt mit 38/405)	NULL	3575
K1143	HBZ60	38/458	K	Kunsthistorisches Institut, Sachgebiet Kunstgeschichte Asiens, Bibliothek	2004-12-01 00	:00	:00	3576
K1144	HBZ60	38/459	K: Ostasiat.Sem./Japan.	Ostasiatisches Seminar, Abt. Japanologie, der Universität Köln	NULL	3577
K1145	HBZ60	38/501	K: Mathematik	Mathematisches Institut	NULL	3578
K1146	HBZ60	38/502	K: Physik	Physikalische Institute, Gemeinsame Bibliothek des Instituts für Theoretische Physik, des Instituts für Kernphysik, der Physikalischen Institute I und II, der Lehrstühle für Experimentalphysik, Angewandte Physik und der Abteilung für Metallphysik	NULL	3579
K1147	HBZ60	38/506	K	Institut für Geophysik und Meteorologie, Abteilung Geophysik, Bibliothek	2006-01-20 00	:00	:00	3580
K1148	HBZ60	38/507	K: Fachbibl. Chemie	Fachbibliothek Chemie, Institute für Anorganische, Organische und Physikalische	Chemie: Gemeinsame Bibliothek (s. auch 38/509, 38/510, 38/511)	NULL	3581
K1149	HBZ60	38/509	K	Fachbibliothek Chemie s. 38/507	2021-07-29 13	:29	:17	3582
K1150	HBZ60	38/510	K	Institut für Biochemie, Abt. Nuklearchemie der Universität Köln (s. 38/507)	2022-12-13 11	:39	:39	3583
K1151	HBZ60	38/511	K	Institut für Biochemie der Universität Köln (s. 38/503)	2011-06-15 00	:00	:00	3584
K1152	HBZ60	38/513	K: Mineralogie-Petrogr.	Mineralogisch-Petrographisches Institut, Institut für Kristallographie der Universität Kö	ln: Gemeinsame Bibliothek	NULL	3585
K1153	HBZ60	38/514	K: Geobibliothek	GeoBibliothek der Universität zu Köln, Gemeinsame Bibliothek der Institute für Geologie, Geophysik, Kristallographie, Mineralogie und Geochemie.	NULL	3586
K1154	HBZ60	38/517	K: Geographie	Geographisches Institut der Universität Köln	NULL	3587
K1155	HBZ60	38/519	K	Botanisches Institut der Universität Köln (= Kn61), integriert in 38/503	2014-08-18 00	:00	:00	3588
K1156	HBZ60	38/521	K	Zoologisches Institut, Lehrstühle für Experimentelle Morphologie, Tierphysiologie, Physiologische Ökologie, integriert in 38/503	2014-08-18 00	:00	:00	3589
K1157	HBZ60	38/524	K	Institut für Entwicklungsbiologie der Universität Köln, integriert in 38/503	2014-08-18 00	:00	:00	3590
K1158	HBZ60	38/525	K	Institut für Genetik, Abteilungen für Entwicklungsgenetik, Evolutionsgenetik, Medizinische Genetik und Virologie, Immunologie, Genetische Biochemie, Zellgenetik; integriert in 38/503	2014-08-18 00	:00	:00	3591
K1159	HBZ60	38/526	K	Lehrstuhl für Informatik und Wirtschaftsinformatik der Universität Köln	2022-12-13 11	:38	:17	3592
K1160	HBZ60	38/540	K	Institut für Geophysik und Meteorologie der Universität Köln	2022-12-13 11	:41	:10	3593
