hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
E0030	EDU50	465/KWI	E: KWI	Universitätsbibliothek  Duisburg-	Essen: Kulturwissenschaftliches Institut	NULL	3074
E0031	EDU50	465 M/28	E	Universitätsbibliothek Duisburg-Essen, Fachbibliothek Medizin, Klinik für Neurologie	2020-06-17 13	:25	:31	3075
F0001	FUH50	708	HA: UB Fernuniversität	Universitätsbibliothek der FernUniversität in Hagen	NULL	3076
A0001	HBZ60	82	AC: Aachen RWTH UB	Universitätsbibliothek der RWTH Aachen	NULL	3077
A2001	HBZ60	82/701	AC: Anatomie	Institut für Anatomie der RWTH Aachen	NULL	3078
A2002	HBZ60	82/702	AC: Physiologie	Institut für Physiologie der RWTH Aachen	NULL	3079
A2003	HBZ60	82/703	AC: Biochemie	Institut für Biochemie der RWTH Aachen	NULL	3080
A2004	HBZ60	82/704	AC: Med. Mikrobiologie	Medizinische Mikrobiologie, Bibliothek	NULL	3081
A2005	HBZ60	82/705	AC: Pharmakologie	Institut für Pharmakologie der RWTH Aachen	NULL	3082
A2006	HBZ60	82/706	AC: Apotheke	Apotheke der Medizinischen Fakultät der RWTH Aachen	NULL	3083
A2007	HBZ60	82/707	AC: GTE der  Medizin	Geschichte, Theorie und Ethik der Medizin, RWTH Aachen	NULL	3084
A2008	HBZ60	82/708	AC	Institut für Rechtsmedizin der RWTH Aachen	2004-01-19 00	:00	:00	3085
A2009	HBZ60	82/709	AC: Hygiene/Umweltmed.	Institut für Hygiene und Umweltmedizin der RWTH Aachen	NULL	3086
A2010	HBZ60	82/710	AC: Med. Informatik	Medizinische Informatik, Bibliothek	NULL	3087
A2011	HBZ60	82/711	AC: Med. Psychologie	Institut für Medizinische Psychologie der RWTH Aachen	NULL	3088
A2012	HBZ60	82/712	AC: Sportmedizin	Institut für Sportmedizin der RWTH Aachen	NULL	3089
A2013	HBZ60	82/713	AC: Verwaltung Klinikum	Verwaltung der Medizinischen Einrichtungen der RWTH Aachen	NULL	3090
A2014	HBZ60	82/714	AC: Kinderkardiologie	Klinik für Kinderkardiologie der RWTH Aachen	NULL	3091
A2015	HBZ60	82/715	AC: Kinderpsychiatrie	Klinik für Kinder- und Jugendpsychiatrie und Psychotherapie der RWTH Aachen	NULL	3092
A2016	HBZ60	82/724	AC: Neurochirurgie	Neurochirurgische Klinik der RWTH Aachen	NULL	3093
A2017	HBZ60	82/725	AC: Med. Klinik I	Medizinische Klinik I, RWTH Aachen	NULL	3094
A2018	HBZ60	82/726	AC: Med. Klinik II	Medizinische Klinik II, RWTH Aachen	NULL	3095
A2019	HBZ60	82/727	AC: Dermatologie	Klinik für Dermatologie (Hautklinik) der RWTH Aachen	NULL	3096
A2020	HBZ60	82/728	AC: Chirurgie	Chirurgische Klinik der RWTH Aachen	NULL	3097
A2021	HBZ60	82/729	AC: Urologie	Urologische Klinik der RWTH Aachen	NULL	3098
A2022	HBZ60	82/730	AC: Orthopädie	Orthopädische Klinik der RWTH Aachen	NULL	3099
A2023	HBZ60	82/731	AC: Gynäkolog./Geburtsh	Klinik für Gynäkologie und Geburtshilfe der RWTH Aachen	NULL	3100
A2024	HBZ60	82/732	AC: Kinderheilkunde	Klinik für Kinderheilkunde der RWTH Aachen	NULL	3101
A2025	HBZ60	82/733	AC: Neuropathologie	Institut für Neuropathologie der RWTH Aachen	NULL	3102
A2026	HBZ60	82/734	AC: Neurologie	Neurologische Klinik der RWTH Aachen	NULL	3103
A2027	HBZ60	82/735	AC: HNO-Heilkunde	Klinik für Hals-, Nasen- und Ohrenheilkunde und Plastische Kopf- und Halschirurgie der RWTH Aachen	NULL	3104
A2028	HBZ60	82/736	AC: Augenheilkunde	Klinik für Augenheilkunde der RWTH Aachen	NULL	3105
A2029	HBZ60	82/737	AC: Radiolog.Diagnostik	Klinik für Radiologische Diagnostik der RWTH Aachen	NULL	3106
A2030	HBZ60	82/738	AC: Pathologie	Institut für Pathologie der RWTH Aachen	NULL	3107
A2031	HBZ60	82/739	AC: Zahnchirurgie	Klinik für Zahn-, Mund-, Kiefer- und Plastische Gesichtschirurgie der RWTH Aachen	NULL	3108
A2032	HBZ60	82/740	AC: Anästhesiologie	Klinik für Anästhesiologie der RWTH Aachen	NULL	3109
A2033	HBZ60	82/741	AC: Biomediz. Technik	Helmholtz-Institut, Lehrstuhl für Biomedizinische Technik der RWTH Aachen	NULL	3110
A2034	HBZ60	82/742	AC: Klinische Chemie	Institut für klinische Chemie und Pathobiochemie der RWTH Aachen	NULL	3111
A2035	HBZ60	82/743	AC: Thoraxchirurgie	Klinik für Thorax-, Herz-, Gefäßchirurgie der RWTH Aachen	NULL	3112
A2036	HBZ60	82/744	AC: Psychiatrie	Klinik für Psychiatrie der RWTH Aachen	NULL	3113
A2037	HBZ60	82/745	AC: Logopädie	Lehranstalt für Logopädie der RWTH Aachen	NULL	3114
A2038	HBZ60	82/746	AC: Transfusionsmedizin	Institut für Transfusionsmedizin der RWTH Aachen	NULL	3115
A2039	HBZ60	82/747	AC	Kinderkrankenpflegeschule der RWTH Aachen	2005-07-12 00	:00	:00	3116
A2040	HBZ60	82/748	AC: GKK-Schule	Schule für Gesundheits-, Kinderkrankenpflege und Krankenpflege der RWTH Aachen	NULL	3117
A2041	HBZ60	82/749	AC: Versuchstierkunde	Institut für Versuchstierkunde und Zentrallaboratorium für Versuchstiere der RWTH Aachen	NULL	3118
A2042	HBZ60	82/750	AC: Lehranstalt f. MTA	Lehranstalt für Medizinisch-technische Labor-Assistent(inn)en der RWTH Aachen	NULL	3119
A2043	HBZ60	82/751	AC: Physiotherapie	Zentralbereich für Physiotherapie der RWTH Aachen	NULL	3120
A2044	HBZ60	82/752	AC: Betriebskindertages	Betriebs-Kindertagesstätte der RWTH Aachen	NULL	3121
A2045	HBZ60	82/753	AC: Tumorzentrum	Tumorzentrum Aachen e.V. der RWTH Aachen	NULL	3122
A2046	HBZ60	82/754	AC: Strahlentherapie	Klinik für Strahlentherapie der RWTH Aachen	NULL	3123
A2047	HBZ60	82/755	AC: Lehranst.Krankengym	Lehranstalt für Physiotherapie der RWTH Aachen	NULL	3124
A2048	HBZ60	82/756	AC: Med. Klinik III	Klinik für Innere Medizin III der RWTH Aachen	NULL	3125
A2049	HBZ60	82/757	AC: Wiss. Personalrat	Personalrat der Wissenschaftlichen Mitarbeiter und Ärzte, Medizinische Einrichtungen der RWTH Aachen	NULL	3126
A2050	HBZ60	82/758	AC: Nuklearmedizin	Klinik für Nuklearmedizin der RWTH Aachen	NULL	3127
A2051	HBZ60	82/759	AC: Nichtwiss.Personalr	Nichtwissenschaftlicher Personalrat, Medizinische Einrichtungen der RWTH Aachen	NULL	3128
A2052	HBZ60	82/760	AC: Betriebsinformation	Zentralbereich für Betriebsinformation und -steuerung der RWTH Aachen	NULL	3129
A2053	HBZ60	82/761	AC: Plastische Chir.	Klinik für Plastische Chirurgie, Hand- und Verbrennungschirurgie der RWTH Aachen	NULL	3130
A2054	HBZ60	82/762	AC: Allgemeinmedizin	Institut für Allgemeinmedizin der RWTH Aachen	NULL	3131
A2055	HBZ60	82/763	AC: Krankenhaushygiene	Zentralbereich für Krankenhaushygiene der RWTH Aachen	NULL	3132
A2056	HBZ60	82/764	AC: Med. Klinik IV	Medizinische Klinik IV, RWTH Aachen	NULL	3133
A2057	HBZ60	82/765	AC: Psychosomatik/Ther.	Klinik für Psychosomatik und Psychotherapie der RWTH Aachen	NULL	3134
A2058	HBZ60	82/766	AC: Neuroradiologie	Klinik für Neuroradiologie der RWTH Aachen	NULL	3135
A2059	HBZ60	82/767	AC: Unfallchirurgie	Klinik für Unfallchirurgie der RWTH Aachen	NULL	3136
A2060	HBZ60	82/768	AC: Orthop. Rehab.	Klinik für Orthopädische Rehabilitation der RWTH Aachen	NULL	3137
A2061	HBZ60	82/769	AC: Arbeitsmedizin	Institut für Arbeitsmedizin der RWTH Aachen	NULL	3138
A2062	HBZ60	82/770	AC: Rehabilitation/Präv	Institut für Rehabilitation und Prävention im ZNS der RWTH Aachen	NULL	3139
A2063	HBZ60	82/771	AC: Biomaterialien	Interdisziplinärer Klinischer Forschungsbereich Biomaterialien der RWTH Aachen	NULL	3140
A2064	HBZ60	82/781	AC: Pflegedirektion	Pflegedirektion, Bibliothek	NULL	3141
A2065	HBZ60	82/782	AC	Frauenklinik für Gynäkologische Endokrinologie und Reproduktionsmedizin der RWTH Aachen	2021-07-29 13	:28	:02	3142
A2066	HBZ60	82/783	AC: Neuropsychologie	Lehr- und Forschungsgebiet Neuropsychologie der RWTH Aachen	NULL	3143
A2067	HBZ60	82/716	AC: Med. Statistik	Rheinisch-Westfälische TH, Medizinische Statistik, Bibliothek	NULL	3144
A2068	HBZ60	82/717	AC: Humangenetik	Institut für Humangenetik der RWTH Aachen	NULL	3145
A2069	HBZ60	82/718	AC: Dekanat Med. Fak.	Dekanat der Medizinischen Fakultät der RWTH Aachen	NULL	3146
A2071	HBZ60	82/735 a	AC: Phoniatrie	Institut für Phoniatrie und Pädaudiologie der RWTH Aachen	NULL	3147
A2072	HBZ60	82/739 a	AC: Zahnärztl.Prothetik	Klinik für Zahnärztliche Prothetik der RWTH Aachen	NULL	3148
A2073	HBZ60	82/739 b	AC: Zahnerhaltung	Klinik für Zahnerhaltung, Parodontologie und Präventive Zahnheilkunde, Klinik für Zahnärztliche Prothetik der RWTH	Aachen: Gemeinsame Bibliothek	NULL	3149
A2074	HBZ60	82/739 c	AC: Kieferorthopädie	Klinik für Kieferorthopädie der RWTH Aachen	NULL	3150
A2075	HBZ60	82/744 a	AC	Psychiatrie, Tagesklinik der RWTH Aachen	2004-01-19 00	:00	:00	3151
A2076	HBZ60	82/744 b	AC	Psychiatrie, Sozialdienst der RWTH Aachen	2004-01-19 00	:00	:00	3152
A2077	HBZ60	82/704 a	AC: Mediz. Immunologie	Institut für Medizinische Immunologie der RWTH Aachen	NULL	3153
A2078	HBZ60	82/719	AC: IT-Direktion	IT-Direktion der RWTH Aachen	NULL	3154
A2079	HBZ60	82/720	AC: Flugmedizin	Flugmedizin, Bibliothek	NULL	3155
