MainLibraryCode+AlmaSuppressedLocations	status
49HBZ_UBD+HA TU-Verw	suppressed
49HBZ_UBD+HA ZfW300	suppressed
49HBZ_UBD+HA ZfW400	suppressed
49HBZ_UBD+HA ZHB_FS	suppressed
49HBZ_UBD+HA ZHB_HD	suppressed
49HBZ_UBD+HA ZHB_HF	suppressed
49HBZ_UBD+HA ZHB_SB	suppressed
49HBZ_UBD+RES_SHARE IN_RS_REQ	suppressed
49HBZ_UBD+RES_SHARE OUT_RS_REQ	suppressed
49HBZ_UBD+S7 SchliessF	suppressed
49HBZ_UBD+ZB Breithaupt	suppressed
49HBZ_UBD+ZB DGEG	suppressed
49HBZ_UBD+ZB DGEG-ZS	suppressed
49HBZ_UBD+ZB Diss_Do	suppressed
49HBZ_UBD+ZB Diss	suppressed
49HBZ_UBD+ZB FOME	suppressed
49HBZ_UBD+ZB FOME-ZS	suppressed
49HBZ_UBD+ZB FOS	suppressed
49HBZ_UBD+ZB FrauenA	suppressed
49HBZ_UBD+ZB Freihand	suppressed
49HBZ_UBD+ZB GrossF_OG3	suppressed
49HBZ_UBD+ZB NS-Rara	suppressed
49HBZ_UBD+ZB Rara	suppressed
49HBZ_UBD+ZB SchliessF3	suppressed
49HBZ_UBD+ZB SchliessF	suppressed
49HBZ_UBD+ZB Verm-Auss	suppressed
49HBZ_UBD+ZB ZS	suppressed
49HBZ_WHS+08	suppressed
49HBZ_WHS+28	suppressed
49HBZ_WHS+38	suppressed
49HBZ_WHS+FB	suppressed
49HBZ_WHS+NBB	suppressed
49HBZ_WHS+VB	suppressed
