Urheberkennung	Name der Bibliothek	ISIL-Bibliothek
5000	HBZ / Zentralredaktion	DE-605
0500	HBZ / SE Red.	DE-605
0500	HBZ, FE	DE-605
0517	Potsdam UB, FE	DE-517
0521	Frankfurt/O UB, FE-Red.	DE-521
0521	Frankfurt/O UB, FE	DE-521
0522	Brandenburg FH, FE	DE-522
0523	Berlin HTW, FE	DE-523
0526	Wildau TH, FE	DE-526
0540	Dresden HfBK FE Lev. 3	DE-540
0547	Erfurt UB FE1	DE-547
0547	Erfurt UB FE3	DE-547
0547	Erfurt/Gotha UFB, VD17	DE-547
0563	Rostock HS Musik L. 3	DE-563
0600	HEBIS	DE-603
0600	HEBIS, SE-Red	DE-603
0600	HEBIS, FE-Red.	DE-603
0600	HEBIS, FE	DE-603
0614	Muenster Int.Port.Westf.Gesch	DE-614
0631	Stuttgart LABI BAW (Level 1)	DE-631
0700	Osnabrueck UB, FE	DE-700
0703	Bayreuth UB [703], FE-Red	DE-703
0703	Bayreuth UB, FE	DE-703
0705	Hamburg UniBW (HSU), FE	DE-705
0706	Muenchen UniBW, FE-Red	DE-706
0706	Muenchen UniBW, FE	DE-706
0715	Oldenburg BIS, FE	DE-715
0739	Passau UB, FE-Red	DE-739
0739	Passau UB, FE	DE-739
0747	Weingarten HSB (Level 3)	DE-747
0755	Emden/Leer FH, FE	DE-755
0824	Eichstaett UB, FE-Red	DE-824
0824	Eichstaett UB, FE	DE-824
0830	Hamburg UB TU, FE	DE-830
0830	Hamburg TUHH FE1	DE-830
0832	Koeln FHB, SE	DE-832
0834	Braunschweig HBK (Level 3)	DE-834
0839	WHV Jade Hochschule FE3	DE-839
0839	Wilhelmshaven FH, GKD	DE-839
0839	WHV Jade Hochschule FE1	DE-839
0897	Elsfleth Jade HS	DE-897-1
0897	Oldenburg Jade-Hochschule FE3	DE-897
0916	Wolfenbuettel FH, GKD	DE-916
0916	Wolfenbuettel Ostfalia HS (Lev3)	DE-916
0929	Koblenz LB [929]	DE-929
0955	Rottenburg HS Forstw	DE-955
0960	Hannover FHB, FE	DE-960
0969	Wiesbaden FHB [969]	DE-969
0969	Wiesbaden FHB, FE-Red	DE-969
0969	Wiesbaden FHB, FE	DE-969
0974	Giessen-Friedberg FHB [974]	DE-974
0974	Giessen-Friedberg FHB, FE-Red	DE-974
0974	Giessen-Friedberg FHB, FE	DE-974
0984	Schwäbisch Gmünd HS Gestalt.	DE-984
0996	Hannover HMTM/FMG, FE	DE-996
0996	Hannover HMT, GKD	DE-996
0996	Hannover HMTM SE3	DE-996
1015	Darmstadt Ev. HS	DE-1015
1015	Darmstadt Ev. HS	DE-1015
1030	SBB / Sacherschliessung	DE-1
1031	SBB, FE-Red	DE-1
1031	SBB, FE	DE-1
1031	SBB, Sprach-Red	DE-1
1031	SBB, VD17	DE-1
1158	Guestrow FH oeff. Verw., GKD	DE-1158
1373	Hamburg HafenCity FE3	DE-1373
1400	OBV / UB WIEN (SWD)	AT-OBV
1401	OBV (PND)	AT-OBV
1401	OBV, FE-Red	AT-OBV
1401	OBV, FE	AT-OBV
1402	OENDV, FE	AT-NOELB
1403	OENDV (Normdaten)	AT-NOeLB
1403	OENDV Normdaten-Red. (Level 1)	AT-NOELB
1500	Suedwest-Verbund	DE-576
1501	BSZ Baden-Wuerttemberg - SWD	DE-576
1502	BSZ, Sonstige SWB-Bibl., FE	DE-576
1510	BSZ Baden-Wuerttemberg - PND	DE-576-2
1520	Reutlingen EKZ	DE-Rt5
1600	Bern NB	CH-000001-5
1610	IDS-SE	CH-IDSGNDS
1620	Bern BSG	CH-000001-5
1620	Bern BSG	CH-000001-5
1702	Neuendetttelsau VThK (THB)	DE-613
1703	Bremen Stiftung FLF / DaSinD, FE	DE-Bre15
1704	Bonn GESIS (SE-Red.)	DE-587b
1705	Koblenz Bundesarchiv, FE	DE-12
1706	Braunschweig PTB, FE	DE-Bs68
1707	Braunschweig GEI, FE	DE-Bs78
1708	Dresden SLUB, Digi-Projekt	DE-14
1711	Berlin DZA FE3	DE-B1562
1712	Gatersleben IPK FE3	DE-Gat1
1713	Kiel FH FE3	DE-Ki95
1714	Hamburg GBB/MKGH FE3	DE-H22
1715	Berlin Stiftung Aufarbeitung, FE	DE-B1548
1716	Frankfurt DIF	DE-Wi17FP
1716	Frankfurt DIF	DE-Wi17FP
1717	Hildesheim Dombibliothek	DE-Hil6
1718	Berlin BfR, GKD	DE-B12
1719	Hannover Landtag FE3	DE-Hv14
1719	Hannover LT Nie (GKD)	DE-Hv14
1719	Hannover Landtag FE1	DE-Hv14
1719	Hannover LT Nie (Level 3)	DE-Hv14
1720	Karlsruhe BFI, GKD	DE-Ka51
1721	Jena FLI, GKD	DE-J120
1722	Weimar HS Musik, FE	DE-Wim8
1723	Berlin Hertie School, GKD	DE-B1570
1724	Hildesheim Nieders. LRH, FE	DE-Hil5
1724	Hildesheim Nieders. LRH, GKD	DE-Hil5
1725	Wismar FH, FE	DE-Wis1
1725	Wismar FH, GKD	DE-Wis1
1726	Muenster Int.Port.Westf.Gesch.	DE-614
1727	Berlin Dt. Inst.f.Menschenr.,FE	DE-B1547
1728	Marburg Hess Landesamt, FE	DE-Mb107
1728	Marburg Hess Landesamt, LAGIS	DE-Mb107
1729	Emden JALB, FE	DE-Em2
1730	Goettingen GWDG, FE	DE-Goe168
1732	Hamburg Bucerius Law School, FE	DE-H360
1733	Ilmenau UB, FE	DE-Ilm1
1734	Jena FH, FE	DE-J59
1735	Jena Thuering. OLG, FE	DE-J153
1736	Magdeburg UB, FE	DE-Ma9
1737	Oldenburg Ev.Luth. Oberk., FE	DE-Old3
1737	Oldenburg Ev.Luth.Oberk. (Lev.3)	DE-Old3
1738	Schmalkalden FH, FE	DE-Shm2
1739	Vechta UB, FE	DE-Va1
1740	Weimar UB, FE	DE-Wim2
1742	Chemnitz UB (Level 3)	DE-CH1
1742	Chemnitz UB (Level 4)	DE-Ch1
1744	Braunschweig HAUM, FE	DE-Bs75
1745	Bremen La.ki.Bibl., GKD	DE-Bre4
1746	Goettingen Otto-Hahn-Bibl., GKD	DE-Goe116
1748	Berlin PTB, GKD	DE-B108
1749	Osnabrueck FH Teilb. Musik, GKD	DE-959-2
1750	Marburg FSt Personalschriften FE	DE-Mb108
1751	Dresden ISGV SAEBI	DE-D174a
1752	Marburg Ev. HS Tabor, FE	DE-Mb109
1753	Berlin UdK, SE	DE-B170
1753	Berlin UdK, FE	DE-B170
1756	Gotha Schlossmuseum Bibl.	DE-G16
1757	Kiel IFM-GEOMAR	DE-Ki109
1758	Cottbus BTU, SE	DE-Co1
1758	Cottbus BTU, FE	DE-634
1758	Cottbus BTU, GKD	DE-634
1759	Eberswalde FH, FE	DE-Eb1
1761	Senftenberg BTU, FE	DE-634
1762	Potsdam TFA	DE-Po84
1763	Halle Franckesche Stiftungen, FE	DE-Ha33
1764	Marbach DLA	DE-Mar1
1764	Marbach DLA SE1	DE-Mar1
1765	Marburg DFG-Projekt Thenom	DE-Mb111
1766	Foto Marburg (Level 1)	DE-Mb112
1766	Marburg Foto (Level 3)	DE-Mb112
1767	Bad Koesen Landesschule Pforte	DE-Pf1
1768	Halle/S Marienbibliothek	DE-Ha32
1769	Bern HLS Schweiz	CH-001499-7
1770	Bern DoDIS	CH-001661-0
1771	Bern Foto CH	CH-001651-4
1772	Muenchen BMLO	DE-M512
1773	Goettingen Germ. Sacra, FE	DE-Goe172
1774	Goettingen Sanskrit Woerterbuch	DE-7-911
1775	Zuerich SIK, FE	CH-000479-X
1776	Basel UB Porträtsammlung, FE	CH-BaUGNF
1777	Berlin Wikimedia Deutschland	DE-B1592
1778	Beirut Orient-Institut	DE-Y9
