almaMmsId	rpbId
990056174180206441	RPB929t942220
990054412890206441	RPB929t942221
990181636570206441	RPB929t950361
990050018470206441	RPB929t950438
990056002280206441	RPB929t950690
990056225390206441	RPB929t950741
990056857430206441	RPB929t951083
990050044170206441	RPB929t951119
990056982510206441	RPB929t951120
990050017720206441	RPB929t951179
990056216140206441	RPB929t951184
990050016050206441	RPB929t951206
990056982630206441	RPB929t951266
990050033400206441	RPB929t951267
990112537790206441	RPB929t951319
990056219510206441	RPB929t951483
990056211150206441	RPB929t951499
990056159690206441	RPB929t951543
990054876930206441	RPB929t951544
990056223640206441	RPB929t951603
990056129150206441	RPB929t951604
990056252380206441	RPB929t951605
990050017510206441	RPB929t951616
990049998300206441	RPB929t951664
990056283800206441	RPB929t951806
990049446450206441	RPB929t951825
990049941680206441	RPB929t951853
990050037020206441	RPB929t951912
990050043270206441	RPB929t952011
990049868050206441	RPB929t952028
990056979050206441	RPB929t952029
990049075330206441	RPB929t952030
990050057240206441	RPB929t952078
990048922060206441	RPB929t952083
990054822550206441	RPB929t952084
990056169480206441	RPB929t952085
990056203170206441	RPB929t952086
990056196050206441	RPB929t952091
990056189320206441	RPB929t952092
990056184720206441	RPB929t952094
990056199260206441	RPB929t952095
990055976010206441	RPB929t952124
990056003520206441	RPB929t952125
990056104730206441	RPB929t952126
990050085780206441	RPB929t960224
990049423970206441	RPB929t960265
990049789000206441	RPB929t960410
990049789000206441	RPB929t960411
990049987530206441	RPB929t960482
990052539430206441	RPB929t960483
990052539440206441	RPB929t960484
990050017720206441	RPB929t961024
990049891590206441	RPB929t961040
990055978910206441	RPB929t961042
990056204000206441	RPB929t961045
990050122510206441	RPB929t961079
990050115240206441	RPB929t961130
990050088960206441	RPB929t962123
990050116660206441	RPB929t962125
990050116710206441	RPB929t962126
990050116630206441	RPB929t962127
990050116680206441	RPB929t962128
990050116610206441	RPB929t962129
990050116690206441	RPB929t962134
990050116520206441	RPB929t962141
990050136850206441	RPB929t962149
990049958430206441	RPB929t962158
990050099680206441	RPB929t962166
990049997070206441	RPB929t962190
990056274920206441	RPB929t962236
990056369300206441	RPB929t962238
990056366750206441	RPB929t962240
990056361940206441	RPB929t962241
990056179360206441	RPB929t962262
990056392610206441	RPB929t962318
990056280180206441	RPB929t962319
990056222100206441	RPB929t962322
990056281010206441	RPB929t962324
990056260860206441	RPB929t962328
990055777020206441	RPB929t962330
990054599710206441	RPB929t962410
990175611970206441	RPB929t962521
990054638230206441	RPB929t962569
990056026440206441	RPB929t962636
990050105020206441	RPB929t962642
990056371560206441	RPB929t962649
990049197950206441	RPB929t962657
990048530900206441	RPB929t962692
990050180470206441	RPB929t962728
990049075330206441	RPB929t962730
990050075790206441	RPB929t962787
990048882560206441	RPB929t962841
990056325390206441	RPB929t962850
990056406260206441	RPB929t962855
990052532010206441	RPB929t962857
990052527060206441	RPB929t962858
990052527050206441	RPB929t962859
990056205280206441	RPB929t962864
990056896950206441	RPB929t962912
990050047560206441	RPB929t962952
990056822530206441	RPB929t962954
990049850740206441	RPB929t962959
990056255650206441	RPB929t962986
990056196010206441	RPB929t970004
990056375330206441	RPB929t970017
990056392550206441	RPB929t970035
990056392560206441	RPB929t970036
990049075330206441	RPB929t970117
990055779300206441	RPB929t970118
990056371610206441	RPB929t970170
990056416160206441	RPB929t970189
990056419010206441	RPB929t970190
990052544090206441	RPB929t970203
990052544020206441	RPB929t970204
990056432240206441	RPB929t970205
990056412940206441	RPB929t970206
990111862410206441	RPB929t970400
990048702200206441	RPB929t970403
990050168710206441	RPB929t970432
990050075790206441	RPB929t970439
990050226860206441	RPB929t970450
990050177620206441	RPB929t970582
990056997750206441	RPB929t970596
990050554600206441	RPB929t970854
990050555250206441	RPB929t970858
990057036030206441	RPB929t970925
990050019730206441	RPB929t970933
990050608990206441	RPB929t970945
990050016060206441	RPB929t970951
990049958430206441	RPB929t970952
990050670280206441	RPB929t970957
990050066970206441	RPB929t970975
990050610640206441	RPB929t971322
990165016950206441	RPB929t971433
990049781990206441	RPB929t971469
990050670430206441	RPB929t971488
990049948850206441	RPB929t971642
990049831070206441	RPB929t971835
990057036120206441	RPB929t971844
