item	itemLabel,types,coordinates
http://www.wikidata.org/entity/Q16295576	Zandershöfe,http://www.wikidata.org/entity/Q253019,Point(7.203 51.22736111)
http://www.wikidata.org/entity/Q1411067	Rimberg,http://www.wikidata.org/entity/Q253019,Point(8.34917 51.2175)
http://www.wikidata.org/entity/Q1645841	Sellmecke,http://www.wikidata.org/entity/Q253019,Point(8.3047 51.241480555)
http://www.wikidata.org/entity/Q2644261	Alfenzingen,http://www.wikidata.org/entity/Q253019,Point(7.66 50.8783)
http://www.wikidata.org/entity/Q1250646	Kemminghausen,http://www.wikidata.org/entity/Q253019,Point(7.48028 51.5575)
http://www.wikidata.org/entity/Q1495868	Gatzweiler,http://www.wikidata.org/entity/Q253019,Point(6.3147 51.1516)
http://www.wikidata.org/entity/Q19365476	Kückelheim,http://www.wikidata.org/entity/Q253019,Point(7.8531 51.17238)
http://www.wikidata.org/entity/Q1579537	Höven,http://www.wikidata.org/entity/Q253019,Point(7.13901 51.9799)
http://www.wikidata.org/entity/Q1520057	Reuschenberg,http://www.wikidata.org/entity/Q253019,Point(6.68479 51.1686)
http://www.wikidata.org/entity/Q27948890	Brambach,http://www.wikidata.org/entity/Q253019,Point(7.2715 50.925138888)
http://www.wikidata.org/entity/Q1529956	Schriefers,http://www.wikidata.org/entity/Q253019,Point(6.34735 51.138)
http://www.wikidata.org/entity/Q1478496	Fußhollen,http://www.wikidata.org/entity/Q253019,Point(7.39361 50.8061)
http://www.wikidata.org/entity/Q56005598	Eyll,http://www.wikidata.org/entity/Q253019,Point(6.401333333 51.435944444)
http://www.wikidata.org/entity/Q1867193	Loch,http://www.wikidata.org/entity/Q253019,Point(7.56 50.8714)
http://www.wikidata.org/entity/Q1838195	Alfen,http://www.wikidata.org/entity/Q253019,Point(8.70167 51.6519)
http://www.wikidata.org/entity/Q6006011	Mittelstadt,http://www.wikidata.org/entity/Q253019,
